Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Edwards	Chuck		X	NC11	2023	5/24/2023	8219697
	Ehasz	Ashley		C	PA01	2023	6/13/2023	10052369
	Ehasz	Ashley		X	PA01	2023	5/3/2023	30018053
	Ehr	Phil		X	FL28	2023	11/21/2023	30019483
Mr.	Ehr	Phil Charles		C	FL28	2023	2/14/2024	10056241
Dr.	Ekpete	Uloma Uma-Kama		C	RI01	2023	6/28/2023	10055190
	Elfreth	Sarah Kelly		C	MD03	2023	12/2/2023	10056345
	Elworth	Mark	Jr	W		2023		8220007
	Elworth	Mark	Jr.	D	CO03	2023	8/28/2023	8219974
	Engel	Kirsten		C	AZ06	2023	8/13/2023	10052634
	Engel	Kirsten		X	AZ06	2023	5/17/2023	30018383
	Engling	Max		C	IN05	2023	2/14/2024	10056263
	Engling	Max		X	IN05	2023	11/21/2023	30019488
	Engling	Max		X	IN05	2023	1/17/2024	30019572
	Eppler	Sam		C	TX24	2023	6/24/2023	10055172
	Espindola	Luis Alberto		C	TX27	2023	1/31/2024	10056517
	Espindola	Luis Alberto		X	TX27	2023	1/9/2024	30019558
	Esposito	Alison		C	NY18	2023	11/9/2023	10056161
	Esposito	Alison		X	NY18	2023	11/9/2023	30019464
Hon.	Estes	Ron		P	KS04	2023	9/30/2023	20023779
	Estrada	Rafael		A	IL17	2023	8/10/2023	10055572
	Estrada	Rafael		C	IL17	2023	8/10/2023	10055569
	Estrada	Rafael		X	IL17	2023	5/24/2023	8219701
	Etchison	Shelane		A	NC09	2023	1/31/2024	10056683
	Etchison	Shelane		C	NC09	2023	1/30/2024	10056605
	Etchison	Shelane		X	NC09	2023	1/23/2024	30019574
Hon.	Evans	Dwight		P	PA03	2023	3/9/2023	20022547
Hon.	Evans	Dwight		P	PA03	2023	7/5/2023	20023246
	Evans	Jerry		A	IL11	2023	10/10/2023	10056013
	Evans	Jerry		C	IL11	2023	10/10/2023	10055994
	Evans	Timothy Gabriel Joseph		C	CO08	2023	9/23/2023	10055887
	Eyring	Henry Christian		W		2023		8219871
Hon.	Ezell	Walter Michael		X	MS04	2023	5/24/2023	8219702
	Farnham	Elizabeth Rhoads		C	PA13	2023	1/8/2024	10056527
	Fernandez	Hilsia Tatiana		C	FL07	2023	11/10/2023	10056204
	Ferrell	David		C	CA34	2023	12/14/2023	10056430
	Feuer	Michael		C	CA30	2023	3/20/2023	8219439
	Filler	Peter Steven		D	TX02	2023	8/22/2023	8219937
	Filler-Corn	Eileen		C	VA10	2023	2/16/2024	10056171
	Filler-Corn	Eileen		X	VA10	2023	11/17/2023	30019470
	Fitzgerald	Kris		X	FL15	2023	10/11/2023	30019432
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2023	2/13/2023	8219359
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2023	5/9/2023	8219527
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2023	8/14/2023	8219919
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2023	11/17/2023	8220049
Hon.	Flood	Mike		P	NE01	2023	5/4/2023	20022861
	Flora	Deborah		C	CO04	2023	1/31/2024	10056299
	Flora	Deborah		X	CO04	2023	12/6/2023	30019498
Hon.	Flores	Mayra Nohemi		C	TX34	2023	9/8/2023	10055813
Hon.	Flores	Mayra Nohemi		T	TX34	2023	9/8/2023	10050866
Hon.	Flores	Mayra Nohemi		X	TX34	2023	2/2/2023	30017764
	Flowers	Bernard		C	MD03	2023	3/12/2024	10056066
	Flowers	Bernard		X	MD03	2023	11/3/2023	30019455
	Focht	Cyril Jason		C	TN06	2023	8/2/2023	10055394
	Fong	Vince		C	CA20	2023	2/4/2024	10056548
	Fong	Vince		X	CA20	2023	1/17/2024	30019566
	Forte	Tina		C	NY14	2023	6/15/2023	10055136
	Fox	Whitney		C	FL13	2023	2/12/2024	10056558
	Fox	Whitney		X	FL13	2023	11/17/2023	8220052
Hon.	Foxx	Virginia		P	NC05	2023	1/3/2023	20022211
Hon.	Foxx	Virginia		P	NC05	2023	1/3/2023	20022213
Hon.	Foxx	Virginia		P	NC05	2023	2/3/2023	20022352
Hon.	Foxx	Virginia		P	NC05	2023	3/3/2023	20022504
Hon.	Foxx	Virginia		P	NC05	2023	4/4/2023	20022646
Hon.	Foxx	Virginia		P	NC05	2023	5/1/2023	20022822
Hon.	Foxx	Virginia		P	NC05	2023	6/2/2023	20023059
Hon.	Foxx	Virginia		P	NC05	2023	7/7/2023	20023237
Hon.	Foxx	Virginia		P	NC05	2023	7/28/2023	20023393
Hon.	Foxx	Virginia		P	NC05	2023	9/5/2023	20023613
Hon.	Foxx	Virginia		P	NC05	2023	10/6/2023	20023809
Hon.	Foxx	Virginia		P	NC05	2023	11/7/2023	20023946
Hon.	Foxx	Virginia		P	NC05	2023	12/5/2023	20024072
Hon.	Frankel	Lois		P	FL21	2023	1/6/2023	20022218
Hon.	Frankel	Lois		P	FL22	2023	2/3/2023	20022357
Hon.	Frankel	Lois		P	FL22	2023	3/13/2023	20022557
Hon.	Frankel	Lois		P	FL22	2023	4/3/2023	20022571
Hon.	Frankel	Lois		P	FL22	2023	4/28/2023	20022805
Hon.	Frankel	Lois		P	FL22	2023	5/19/2023	20022974
Hon.	Frankel	Lois		P	FL22	2023	6/24/2023	20023194
Hon.	Frankel	Lois		P	FL22	2023	7/28/2023	20023369
Hon.	Frankel	Lois		P	FL22	2023	8/26/2023	20023573
Hon.	Frankel	Lois		P	FL22	2023	10/10/2023	20023816
Hon.	Franklin	C. Scott		P	FL18	2023	10/12/2023	20023847
Hon.	Franklin	Scott Mr		P	FL18	2023	3/7/2023	20022530
Hon.	Franklin	Scott Mr		P	FL18	2023	5/23/2023	20022987
	Franz	Hilary		C	WA06	2023	3/10/2024	10056371
	Franz	Hilary		X	WA06	2023	12/12/2023	30019519
	Franz	Hilary		X	WA06	2023	12/27/2023	30019543
	Franz	Hilary		X	WA06	2023	2/7/2024	30019582
	Franzese	Daniel John		C	FL22	2023	5/3/2023	10052351
	Fratto	Mario		C	NY24	2023	11/28/2023	10056294
	Freeman	Esau A.		C	KS04	2023	1/30/2024	10056682
	Friedman	Laura		C	CA30	2023	7/9/2023	10053411
	Friedman	Laura		X	CA30	2023	5/17/2023	30018370
	Frisch	Adam		C	CO03	2023	8/13/2023	10054685
	Frisch	Adam		X	CO03	2023	5/17/2023	30018981
Hon.	Fulcher	Russ		P	ID01	2023	5/12/2023	20022919
	Gaddis	Stephanie		W	FL06	2023	11/3/2023	7911
	Galan-Woods	Marlene		C	AZ01	2023	9/16/2023	10055571
	Galan-Woods	Marlene		X	AZ01	2023	6/21/2023	8219794
	Gallegos	Isiah Nathaniel		C	AZ08	2023	11/10/2023	10056200
Hon.	Garcia	Michael		P	CA27	2023	1/26/2023	20022325
Hon.	Garcia	Michael		P	CA27	2023	6/20/2023	20023182
Hon.	Garcia	Michael		P	CA27	2023	8/17/2023	20023553
Hon.	Garcia	Michael		P	CA27	2023	12/7/2023	20024110
	Gardner	Shellie Lucille		C	TX12	2023	12/29/2023	10056496
Mr.	Garza	Mauro Everett		C	TX34	2023	5/7/2023	10053259
	Gassen	River		C	CO05	2023	11/30/2023	10056333
	Gaughran	James F.		C	NY01	2023	11/29/2023	10055774
	Gaughran	James F.		X	NY01	2023	9/6/2023	30019401
Mr.	Gaye	Joseph Oliver		D	CO05	2023	6/20/2023	40003502
	Gehrig	Sebastian Kenneth		D	TX12	2023	1/19/2024	40003588
Mr.	Gelb	David Edward		C	OH08	2023	12/7/2023	10056376
	Genant	Pamela		C	NC14	2023	12/25/2023	10056481
	Gereghty	Elizabeth		C	NY17	2023	8/21/2023	10054506
	Gereghty	Elizabeth		X	NY17	2023	5/17/2023	30018900
	Gereghty	Elizabeth		X	NY17	2023	6/21/2023	30019204
Hon.	Gibbs	Bob		T	OH07	2023	1/25/2023	10050773
	Gilberry	Wallace		X	AL02	2023	12/12/2023	30019521
	Giles	David Victor		C	AZ04	2023	5/15/2023	10054713
	Gill	Brandon		C	TX26	2023	2/4/2024	10056450
	Gill	Brandon		X	TX26	2023	12/27/2023	30019538
	Gillard	Adam Joseph		C	CO05	2023	11/16/2023	10056218
	Gillen	Laura		C	NY04	2023	9/5/2023	10054889
	Gillen	Laura		X	NY04	2023	6/6/2023	30019031
	Goffe	Andrew Lee		C	CA47	2023	9/1/2023	10055779
Hon.	Gohmert	Louie		T	TX01	2023	1/26/2023	10050825
	Goldman	Craig		C	TX12	2023	12/30/2023	10056349
	Goldman	Craig		X	TX12	2023	12/6/2023	30019513
Hon.	Goldman	Daniel		P	NY10	2023	2/24/2023	20022407
Hon.	Goldman	Daniel		P	NY10	2023	3/20/2023	20022480
Hon.	Goldman	Daniel		P	NY10	2023	4/17/2023	20022653
Hon.	Goldman	Daniel		P	NY10	2023	5/19/2023	20022948
Hon.	Goldman	Daniel		P	NY10	2023	6/15/2023	20023065
Hon.	Goldman	Daniel		P	NY10	2023	7/24/2023	20023253
Hon.	Goldman	Daniel		P	NY10	2023	8/13/2023	20023404
Hon.	Goldman	Daniel		P	NY10	2023	9/17/2023	20023677
	Goncalves	John		C	RI01	2023	8/13/2023	10053977
	Goncalves	John		X	RI01	2023	5/17/2023	30018726
Hon.	Gonzalez	Anthony E.		T	OH16	2023	5/3/2023	10050790
Hon.	Gonzalez	Anthony E.		X	OH16	2023	1/18/2023	30017739
	Goodrich	Charles		C	IN05	2023	8/13/2023	10055646
	Goodrich	Charles		X	IN05	2023	5/10/2023	8219540
	Goroff	Nancy		C	NY01	2023	2/1/2024	10056147
	Goroff	Nancy		X	NY01	2023	11/9/2023	30019461
Hon.	Gottheimer	Josh		P	NJ05	2023	1/13/2023	20022219
Hon.	Gottheimer	Josh		P	NJ05	2023	2/17/2023	20022412
Hon.	Gottheimer	Josh		P	NJ05	2023	3/17/2023	20022531
Hon.	Gottheimer	Josh		P	NJ05	2023	4/20/2023	20022683
Hon.	Gottheimer	Josh		P	NJ05	2023	5/19/2023	20022877
Hon.	Gottheimer	Josh		P	NJ05	2023	6/11/2023	20023087
Hon.	Gottheimer	Josh		P	NJ05	2023	7/11/2023	20023257
Hon.	Gottheimer	Josh		P	NJ05	2023	8/21/2023	20023500
Hon.	Gottheimer	Josh		P	NJ05	2023	9/16/2023	20023651
Hon.	Gottheimer	Josh		P	NJ05	2023	10/15/2023	20023833
Hon.	Gottheimer	Josh		P	NJ05	2023	11/11/2023	20023973
Hon.	Gottheimer	Josh		P	NJ05	2023	12/8/2023	20024097
	Grammer	Geoffrey		C	MD06	2023	9/12/2023	10055818
	Gray	Adam C.		C	CA13	2023	5/15/2023	10054185
Hon.	Green	Mark Dr		P	TN07	2023	1/9/2023	20022193
Hon.	Green	Mark Dr		P	TN07	2023	1/30/2023	20022322
Hon.	Green	Mark Dr		P	TN07	2023	2/5/2023	20022337
Hon.	Green	Mark Dr		P	TN07	2023	2/27/2023	20022463
Hon.	Green	Mark Dr		P	TN07	2023	4/1/2023	20022626
Hon.	Green	Mark Dr		P	TN07	2023	4/16/2023	20022725
Hon.	Green	Mark Dr		P	TN07	2023	5/26/2023	20022998
Hon.	Green	Mark Dr		P	TN07	2023	6/2/2023	20023055
Hon.	Green	Mark Dr		P	TN07	2023	6/5/2023	20023075
Hon.	Green	Mark Dr		P	TN07	2023	6/12/2023	20023119
Hon.	Green	Mark Dr		P	TN07	2023	6/30/2023	20023220
Hon.	Green	Mark Dr		P	TN07	2023	7/18/2023	20023329
Hon.	Green	Mark Dr		P	TN07	2023	7/24/2023	20023358
Hon.	Green	Mark Dr		P	TN07	2023	8/8/2023	20023441
Hon.	Green	Mark Dr		P	TN07	2023	8/14/2023	20023526
	Greene-Scott	Marquette		D	TX22	2023	1/19/2024	40003587
Mr.	Griffin	James Brian		C	CA47	2023	6/5/2023	10054996
Hon.	Grothman	Glenn S.		P	WI06	2023	6/27/2023	20023104
	Groves	Ralph		D	FL11	2023	10/24/2023	8220041
Hon.	Guest	Michael Patrick		P	MS03	2023	1/19/2023	20022270
Hon.	Guest	Michael Patrick		P	MS03	2023	2/24/2023	20022392
Hon.	Guest	Michael Patrick		P	MS03	2023	4/14/2023	20022701
Hon.	Guest	Michael Patrick		P	MS03	2023	7/14/2023	20023247
Hon.	Guest	Michael Patrick		P	MS03	2023	8/23/2023	20023442
Hon.	Guest	Michael Patrick		P	MS03	2023	11/20/2023	20023951
Hon.	Guest	Michael Patrick		P	MS03	2023	12/11/2023	20024107
	Guinchard	Mary Jo-Ann		D	NJ05	2023	2/1/2024	40003595
	Gunderson	Matt		C	CA49	2023	9/6/2023	8219969
	Gunderson	Matt		X	CA49	2023	6/6/2023	30019035
	Gutmann	Andrew		C	FL22	2023	8/23/2023	10053918
	Gutmann	Andrew		X	FL22	2023	5/17/2023	30018561
	Gutmann	Andrew		X	FL22	2023	6/27/2023	30019247
	Gutmann	Andrew		X	FL22	2023	7/18/2023	30019293
	Gwinn	Lovelynn		C	NY00	2023	5/15/2023	10053876
	Gwinn	Lovelynn		X	NY00	2023	5/17/2023	30018532
	Hach	Gregory		C	NY03	2023	11/21/2023	10055751
	Hach	Gregory		X	NY03	2023	8/29/2023	30019396
	Hafif	Gregory Keith		C	CA31	2023	1/3/2024	10056033
	Hafif	Gregory Keith		X	CA31	2023	10/4/2023	8219989
	Hall	Donyale London		C	DE00	2023	3/1/2024	10056322
	Hall	Donyale London		X	DE00	2023	12/8/2023	8220070
	Hamadeh	Abraham		C	AZ08	2023	2/15/2024	10056260
	Hamadeh	Abraham		X	AZ08	2023	11/21/2023	30019486
	Hamilton	Cameron		C	VA07	2023	9/12/2023	10055834
	Hammes	Anthony		D	WI01	2023	5/12/2023	8219530
	Hammes	Anthony		D	WI01	2023	5/15/2023	40003489
	Hancock	Mark Kenneth		D	CT01	2023	8/22/2023	8219938
	Hancock	Mark Kenneth		D	CT01	2023	8/24/2023	40003519
	Harbaugh	Michael Robert		C	OH10	2023	8/1/2023	10055445
	Harrigan	Pat		C	NC14	2023	12/28/2023	10055854
	Harrigan	Pat		X	NC14	2023	10/4/2023	30019425
	Harris	Clemmie L.		C	NY22	2023	8/9/2023	10055427
	Harris	Clemmie L.		X	NY22	2023	6/21/2023	8219795
	Harris	Clemmie L.		X	NY22	2023	7/24/2023	8219856
	Harris	Hampton Scott		C	AL02	2023	12/4/2023	10056250
	Harris	Mark E.		C	NC08	2023	11/25/2023	10056160
	Harris	Mark E.		X	NC08	2023	10/13/2023	8220002
Hon.	Harshbarger	Diana		P	TN01	2023	3/2/2023	8219412
Hon.	Harshbarger	Diana		P	TN01	2023	3/27/2023	20016496
Hon.	Hartzler	Vicky		T	MO04	2023	1/25/2023	10050772
	Harvey-Hall	Phyllis		C	AL02	2023	1/14/2024	10056589
	Hatfield	Scott Allen	Jr.	C	UT02	2023	7/13/2023	10055292
	Hathaway-Altman	Susan		A	IL11	2023	1/29/2024	10056677
	Hathaway-Altman	Susan		C	IL11	2023	1/25/2024	10056657
	Hawkins	Nathaniel Alan		C	OH08	2023	10/4/2023	10055987
Dr.	Hayes	James		C	PA12	2023	8/16/2023	10052518
Dr.	Hayes	James		X	PA12	2023	5/3/2023	30018086
Mr.	Hearton	John L.		A	FL08	2023	5/24/2023	10054909
Mr.	Hearton	John L.		C	FL08	2023	5/23/2023	10054332
	Heinzer	Clifford		X	VA07	2023	12/27/2023	30019542
	Helgelien	Elizabeth Nicole		C	NV03	2023	8/11/2023	10052858
	Helgelien	Elizabeth Nicole		X	NV03	2023	5/24/2023	8219719
	Helmer	Daniel		C	VA10	2023	3/12/2024	10056378
	Helmer	Daniel		X	VA10	2023	12/12/2023	30019520
	Hemenway	James Vincent		A	CO07	2023	1/3/2024	10056521
	Hemenway	James Vincent		A	CO07	2023	1/8/2024	10056547
	Hemenway	James Vincent		C	CO07	2023	12/31/2023	10056473
	Hemphill	James Terrelle		C	OH11	2023	6/1/2023	10054972
	Henriquez	Ada Norah		P	PR00	2023	5/2/2023	8219483
	Herman	Thomas		C	CA33	2023	10/16/2023	10056032
Hon.	Hern	Kevin		P	OK01	2023	1/13/2023	20022285
Hon.	Hern	Kevin		P	OK01	2023	2/14/2023	20022430
Hon.	Hern	Kevin		P	OK01	2023	3/15/2023	20022580
Hon.	Hern	Kevin		P	OK01	2023	4/10/2023	20022699
Hon.	Hern	Kevin		P	OK01	2023	5/11/2023	20022908
Hon.	Hern	Kevin		P	OK01	2023	6/13/2023	20023136
Hon.	Hern	Kevin		P	OK01	2023	7/12/2023	20023303
Hon.	Hern	Kevin		P	OK01	2023	8/16/2023	20023532
Hon.	Hern	Kevin		P	OK01	2023	9/7/2023	20023641
Hon.	Hern	Kevin		P	OK01	2023	10/13/2023	20023848
Hon.	Hern	Kevin		P	OK01	2023	11/17/2023	20024020
Hon.	Hern	Kevin		P	OK01	2023	12/7/2023	20024104
	Hernandez	Peter		C	CA18	2023	3/27/2023	10051112
	Hernandez Rivera	Pablo Jose		C	PR00	2023	8/13/2023	10055410
	Hernandez Rivera	Pablo Jose		X	PR00	2023	5/10/2023	8219535
Hon.	Herrell	Stella Yvette		C	NM02	2023	12/27/2023	10056380
Hon.	Herrell	Stella Yvette		T	NM02	2023	3/11/2023	10050827
Hon.	Herrell	Stella Yvette		X	NM02	2023	1/30/2023	30017752
	Herrera	Brandon		C	TX23	2023	9/5/2023	10055763
Hon.	Herrera Beutler	Jaime		T	WA03	2023	1/24/2023	10050822
	Hertel	Curtis	Jr.	A	MI07	2023	8/4/2023	10055477
	Hertel	Curtis	Jr.	C	MI07	2023	8/3/2023	10055422
	Hewitt	Patti		D	GA01	2023	8/29/2023	40003524
Hon.	Hice	Jody		T	GA10	2023	4/17/2023	10050801
Hon.	Hice	Jody		X	GA10	2023	1/19/2023	30017744
Hon.	Hill	James French		P	AR02	2023	3/14/2023	20022189
Hon.	Hill	James French		P	AR02	2023	3/16/2023	20022579
Hon.	Hill	James French		P	AR02	2023	3/23/2023	20022591
Hon.	Hill	James French		P	AR02	2023	12/13/2023	20023412
	Hill	Kyle		X	NY01	2023	1/3/2024	30019553
Hon.	Himes	James A.		P	CT04	2023	3/5/2023	20022515
	Holden	Steven Wesley	Sr	C	NY21	2023	8/23/2023	10055711
	Hollier	Adam		X	MI13	2023	11/21/2023	30019477
Hon.	Hollingsworth	Trey		T	IN09	2023	5/5/2023	8219516
Hon.	Hollingsworth	Trey		X	IN09	2023	1/31/2023	8219346
	Holtorf	Richard		C	CO04	2023	1/30/2024	10056661
	Holtorf	Richard		X	CO04	2023	2/9/2024	8220139
Dr.	Hook	Kristin A.		C	TX21	2023	1/3/2024	10056331
Dr.	Hook	Kristin A.		X	TX21	2023	12/6/2023	30019505
	Horges	Bradley Lamar Mr	Jr	C	IL13	2023	4/17/2023	10052140
	Horn	Madison		C	OK05	2023	10/16/2023	10056046
	Horne	Andrew		A	AZ01	2023	11/15/2023	10056238
	Horne	Andrew		A	AZ01	2023	11/16/2023	10056262
	Horne	Andrew		C	AZ01	2023	5/14/2023	10050959
	Hoster	Bill		C	UT02	2023	7/6/2023	10055225
	Houck	Mark Justin	Sr.	C	PA01	2023	12/5/2023	10056362
	Hough	Bruce R		A	UT02	2023	7/15/2023	10055314
	Hough	Bruce R		C	UT02	2023	7/15/2023	10055313
	Houlahan	Stephen William		C	CA48	2023	11/15/2023	10056244
	Howell	Tate Arza		C	UT03	2023	5/17/2023	10054817
	Howell	Tate Arza		W	UT03	2023		8219820
	Hubbard	Chuck		C	NC05	2023	7/5/2023	10055216
	Hudson	Paul		C	MI03	2023	12/26/2023	10055871
	Hudson	Paul		X	MI03	2023	9/28/2023	30019417
	Huffman	John		C	TX26	2023	3/4/2024	10056823
	Hughes	Sarah		X	NY04	2023	6/9/2023	8219754
	Hunt	Cheyenne		C	CA45	2023	5/19/2023	8219589
Dr.	Huq	Muzibul		C	NY02	2023	5/18/2023	10054869
	Hurd	Jeffrey		X	CO03	2023	9/25/2023	8219979
Mr.	Hurd	Jeffrey S		C	CO03	2023	12/14/2023	10056385
	Hurtado	Melissa		C	CA22	2023	8/24/2023	10055710
	Hyser	Chris		C	MD06	2023	7/19/2023	10055226
	Ickes	Jason		C	MI03	2023	9/18/2023	10055838
Ms.	Iroha	Celeste Chizoba		A	MD04	2023	9/6/2023	10055798
Ms.	Iroha	Celeste Chizoba		C	MD04	2023	9/6/2023	10055070
Ms.	Iroha	Celeste Chizoba		X	MD04	2023	6/21/2023	30019201
	Ivanovskis	Jeremy Daniel		D	TX03	2023	12/11/2023	40003571
Hon.	Ivey	Glenn		X	MD04	2023	5/24/2023	8219728
Hon.	Jackson	Jeff		P	NC14	2023	2/17/2023	20022431
Hon.	Jackson	Jonathan		P	IL01	2023	5/12/2023	20022795
Hon.	Jackson	Jonathan		P	IL01	2023	6/6/2023	20023077
Hon.	Jackson	Jonathan		P	IL01	2023	7/7/2023	20023262
Hon.	Jackson	Jonathan		P	IL01	2023	8/9/2023	20023443
Hon.	Jackson	Jonathan		P	IL01	2023	9/11/2023	20023636
Hon.	Jackson	Jonathan		P	IL01	2023	11/1/2023	20023804
Hon.	Jackson	Jonathan		P	IL01	2023	11/16/2023	20023965
Hon.	Jackson	Jonathan		P	IL01	2023	12/4/2023	20024078
Hon.	Jacobs	Christopher L.		A	NY27	2023	11/14/2023	10056155
Hon.	Jacobs	Christopher L.		P	NY27	2023	1/20/2023	20022265
Hon.	Jacobs	Christopher L.		T	NY27	2023	5/2/2023	10050742
Hon.	Jacobs	Christopher L.		X	NY27	2023	1/11/2023	30017729
Ms.	Jahn	Lucinda Kwh		D	CA48	2023	6/27/2023	40003503
	Jain	Ashwani		C	MD06	2023	10/15/2023	10056037
	Jalis	Musa		C	CA10	2023	7/30/2023	10055423
	James	Scott		C	CO08	2023	11/9/2023	10055433
	James	Scott		X	CO08	2023	8/9/2023	30019367
	Jasser	M. Zuhdi		C	AZ04	2023	1/20/2024	10056610
	Jasser	M. Zuhdi		X	AZ04	2023	10/25/2023	8220020
	Jayapal	Susheela		C	OR03	2023	2/29/2024	10056277
	Jayapal	Susheela		X	OR03	2023	12/1/2023	30019493
	Johnson	Drew		C	NV03	2023	6/22/2023	10055152
	Johnson	Elizabeth Liz		C	GA12	2023	2/12/2024	10056240
	Johnson	Elizabeth Liz		X	GA12	2023	11/21/2023	30019482
	Johnson	Julie		C	TX32	2023	10/13/2023	10055300
	Johnson	Julie		X	TX32	2023	7/18/2023	30019338
	Johnson	Leif D.		C	WA02	2023	8/27/2023	10055757
Mr.	Johnson	Ron		W	PA64	2023		8219821
	Johnson	Tara		C	WI03	2023	11/9/2023	10056165
	Jones	Brian		C	FL08	2023	9/6/2023	10055789
	Jones	Gian A.		D	NY04	2023	6/22/2023	8219806
	Jones	Marcus		C	AR02	2023	11/15/2023	10056205
Hon.	Jones	Mondaire		C	NY17	2023	8/4/2023	10055401
Hon.	Jones	Mondaire		T	NY17	2023	8/4/2023	10055400
	Junge	Paul		X	MI08	2023	12/27/2023	30019547
Hon.	Kahele	Kaiali'I		A	HI02	2023	2/1/2023	10050844
Hon.	Kahele	Kaiali'I		T	HI02	2023	1/28/2023	10050832
	Kalata	Ryan Michael		D	NY03	2023	9/18/2023	40003530
	Kale	Andrea Doria		C	FL17	2023	11/8/2023	10056175
	Kane	Caroline		C	TX07	2023	5/12/2023	10051161
	Kangas	Jolian		D	CA02	2023	11/10/2023	8220069
	Kaplan	Anna		C	NY03	2023	5/22/2023	10054291
Hon.	Kaptur	Marcy		P	OH09	2023	5/15/2023	20022886
	Kasama	Heidi		C	NV03	2023	9/19/2023	10055826
Hon.	Katko	John M.		T	NY24	2023	6/2/2023	10050791
Hon.	Katko	John M.		X	NY24	2023	1/18/2023	30017740
	Kaul	Krystle Veda		C	VA10	2023	2/10/2024	10056099
	Kaul	Krystle Veda		X	VA10	2023	11/3/2023	30019452
Hon.	Kean	Thomas H.		P	NJ07	2023	2/11/2023	20022373
Hon.	Kean	Thomas H.		P	NJ07	2023	3/11/2023	20022550
Hon.	Kean	Thomas H.		P	NJ07	2023	4/13/2023	20022704
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2023	8/13/2023	20023455
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2023	9/15/2023	20023671
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2023	9/18/2023	20023717
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2023	11/17/2023	20023986
Hon.	Keating	William R.		P	MA09	2023	1/30/2023	20022340
Hon.	Keating	William R.		P	MA09	2023	2/28/2023	20022490
Hon.	Keating	William R.		P	MA09	2023	6/15/2023	20023143
Hon.	Keating	William R.		P	MA09	2023	7/19/2023	20023339
Hon.	Keating	William R.		P	MA09	2023	7/31/2023	20023410
Hon.	Keating	William R.		P	MA09	2023	8/28/2023	20023537
Hon.	Keating	William R.		P	MA09	2023	9/28/2023	20023752
Ms.	Keivaulqe Autiameineire	Fepbrina Estrelvia		C	CA17	2023	2/14/2023	10050916
	Keller	Chuck		D	PA04	2023	12/23/2023	8220098
	Keller	Chuck		X	PA04	2023	12/27/2023	30019545
Hon.	Keller	Fred		T	PA12	2023	2/13/2023	8219381
Hon.	Kelly	Mike		P	PA16	2023	2/15/2023	8219383
Hon.	Kelly	Mike		P	PA16	2023	3/6/2023	8219420
Hon.	Kelly	Mike		P	PA16	2023	4/12/2023	8219455
Hon.	Kelly	Mike		P	PA16	2023	7/18/2023	8219843
Hon.	Kelly	Mike		P	PA16	2023	9/12/2023	20023670
Hon.	Kelly	Mike		P	PA16	2023	10/11/2023	20023829
Hon.	Kelly	Mike		P	PA16	2023	11/5/2023	20023960
Hon.	Kelly	Mike		P	PA16	2023	12/10/2023	20024120
Hon.	Kelly	Robin		G	IL02	2023	9/19/2023	8219977
	Kennedy	John Perkins		C	TN06	2023	9/13/2023	10055797
	Kennedy	John Perkins		D	TN06	2023	7/12/2023	40003507
	Kennedy	Timothy		C	NY26	2023	12/12/2023	10056410
	Kent	Joseph		A	WA03	2023	4/12/2023	10051935
	Kent	Joseph		C	WA03	2023	3/15/2023	10051075
Mr.	Kenworthy	Jon Michael		C	IN03	2023	6/12/2023	10055033
	Kerr	Joseph		C	CA40	2023	6/7/2023	10055003
	Khan	Gulrez		D	TX32	2023	7/12/2023	40003506
Hon.	Khanna	Rohit		P	CA17	2023	2/7/2023	8219353
Hon.	Khanna	Rohit		P	CA17	2023	3/3/2023	8219417
Hon.	Khanna	Rohit		P	CA17	2023	4/7/2023	8219444
Hon.	Khanna	Rohit		P	CA17	2023	5/8/2023	8219521
Hon.	Khanna	Rohit		P	CA17	2023	6/12/2023	8219783
Hon.	Khanna	Rohit		P	CA17	2023	7/11/2023	8219826
Hon.	Khanna	Rohit		P	CA17	2023	8/7/2023	8219876
Hon.	Khanna	Rohit		P	CA17	2023	9/6/2023	8219953
Hon.	Khanna	Rohit		P	CA17	2023	10/6/2023	8219992
Hon.	Khanna	Rohit		P	CA17	2023	11/8/2023	8220039
Hon.	Khanna	Rohit		P	CA17	2023	12/6/2023	8220067
Hon.	Khanna	Rohit		P	CA17	2023	1/4/2024	8220092
	Kifle	Luele Negash		D	CA18	2023	4/17/2023	40003476
	Kilbourn	Kyle		C	WI07	2023	8/27/2023	10055498
	Kilbourn	Kyle		D	WI07	2023	5/4/2023	8219496
	Kilbourn	Kyle		X	WI07	2023	6/21/2023	8219797
Hon.	Kiley	Kevin		G	CA03	2023	9/14/2023	8219978
	Kim	David		C	CA34	2023	7/29/2023	10055421
Hon.	Kind	Ron		T	WI03	2023	1/27/2023	10050819
	King	Charles		C	GA07	2023	10/9/2023	10056009
Hon.	Kirkpatrick	Ann		T	AZ02	2023	1/15/2023	10050779
	Klee Hood	Sarah		A	NY22	2023	1/4/2024	10056235
