Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Berbrick	Walter		C	RI01	2023	6/26/2023	8219807
	Bergmann	Charlotte		C	TN09	2023	9/12/2023	10055823
	Bernal	Benito		C	CA29	2023	12/20/2023	8220087
	Bernstein	Joby		C	CA16	2023	2/2/2024	10056317
	Bernstein	Joby		X	CA16	2023	12/6/2023	30019507
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2023	3/3/2023	20022418
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2023	4/5/2023	20022603
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2023	4/29/2023	20022807
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2023	7/1/2023	20023129
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2023	10/1/2023	20023758
	Bhalla	Ravi		C	NJ08	2023	2/10/2024	10056755
Hon.	Bice	Stephanie		P	OK05	2023	8/12/2023	20023437
Hon.	Bishop	Dan Daniel		P	NC08	2023	5/4/2023	20022126
Hon.	Bishop	Dan Daniel		P	NC08	2023	5/7/2023	20022876
Hon.	Bishop	Dan Daniel		P	NC08	2023	9/15/2023	20023712
Hon.	Bishop	Dan Daniel		P	NC08	2023	10/27/2023	20023903
	Blair	Nicholas Edward		C	AZ09	2023	3/20/2023	10051119
	Blank	Martin		C	MI08	2023	11/9/2023	10056163
	Blazakis	Jason		A	NJ07	2023	10/6/2023	10056002
	Blazakis	Jason		C	NJ07	2023	8/23/2023	10055737
Hon.	Blumenauer	Earl		P	OR03	2023	1/4/2023	20022225
Hon.	Blumenauer	Earl		P	OR03	2023	1/12/2023	20022271
Hon.	Blumenauer	Earl		P	OR03	2023	3/6/2023	20022521
Hon.	Blumenauer	Earl		P	OR03	2023	3/9/2023	20022546
Hon.	Blumenauer	Earl		P	OR03	2023	4/5/2023	20022667
Hon.	Blumenauer	Earl		P	OR03	2023	6/8/2023	20023073
Hon.	Blumenauer	Earl		P	OR03	2023	7/12/2023	20023218
Hon.	Blumenauer	Earl		P	OR03	2023	8/4/2023	20023435
Hon.	Blumenauer	Earl		P	OR03	2023	9/6/2023	20023615
Hon.	Blumenauer	Earl		P	OR03	2023	11/7/2023	20023955
Hon.	Blumenauer	Earl		P	OR03	2023	12/4/2023	20024076
	Bocanegra	Josh		C	CA30	2023	2/10/2023	10050895
	Bohan	Patrick		C	CO07	2023	1/4/2024	10056000
	Bohan	Patrick		X	CO07	2023	10/11/2023	30019433
	Bohannan	Christina		C	IA01	2023	12/13/2023	10055730
	Bohannan	Christina		X	IA01	2023	8/29/2023	30019390
	Boles	Denyc		C	OR06	2023	12/5/2023	8220075
	Boles	Denyc		X	OR06	2023	9/12/2023	30019403
	Boles	Denyc		X	OR06	2023	11/13/2023	8220047
	Bonnett	Erik C.		C	PA04	2023	6/14/2023	10055123
Hon.	Bourdeaux	Carolyn		T	GA07	2023	5/3/2023	10050782
Hon.	Bourdeaux	Carolyn		X	GA07	2023	1/16/2023	30017735
	Bowman	John		C	MO05	2023	7/27/2023	10055405
	Boyanton	Carl		C	MS04	2023	10/7/2023	10056006
	Boyd	Stephen		C	MN07	2023	12/5/2023	10056307
	Boyd	Vance W.		C	TX19	2023	7/22/2023	10055248
	Bracy	Napoleon		C	AL02	2023	1/23/2024	10056451
	Bracy	Napoleon		X	AL02	2023	12/27/2023	30019539
	Bradford	John R.	III	A	NC08	2023	1/8/2024	10056546
	Bradford	John R.	III	C	NC08	2023	1/8/2024	10056512
Hon.	Brady	Kevin		T	TX08	2023	9/22/2023	10055880
	Brame	Madeline		A	NY05	2023	9/29/2023	10055954
	Brame	Madeline		C	NY05	2023	8/11/2023	10055598
	Breslin	Karen R.		C	CO04	2023	1/19/2024	10056636
	Bresnahan	Rob		C	PA08	2023	1/30/2024	10056062
	Bresnahan	Rob		X	PA08	2023	10/24/2023	30019447
	Brewbaker	Dick Lansden		C	AL02	2023	2/2/2024	8220125
	Brewbaker	Dick Lansden		X	AL02	2023	12/6/2023	30019511
	Bright	Chris		X	NH01	2023	11/3/2023	30019456
	Brock	Matthew		C	CA04	2023	4/28/2023	10052608
Hon.	Brooks	Mo		T	AL05	2023	5/2/2023	10050815
Hon.	Brooks	Mo		X	AL05	2023	1/23/2023	30017748
Hon.	Brown	Anthony		T	MD04	2023	1/14/2023	10050771
	Brown	Don		C	NC08	2023	12/15/2023	10056392
	Brown	Jay Edward		C	IA04	2023	12/5/2023	10055859
	Brown	Jay Edward		X	IA04	2023	9/28/2023	30019416
Mr.	Bruneau	Christopher Marc		C	MD01	2023	5/15/2023	10053620
Mr.	Bryant	Bart Alexander		C	GA14	2023	7/14/2023	10055296
	Bryant	Carolyn Bonita		D	TX07	2023	6/14/2023	40003500
	Buckhout	Laurie		C	NC01	2023	12/27/2023	10056462
	Buckner	Duke		C	SC06	2023	10/4/2023	10055981
Hon.	Budd	Theodore P.		E	NC13	2023	1/6/2023	8219324
Hon.	Budd	Theodore P.		E	NC13	2023	2/16/2023	8219386
Hon.	Burgess	Michael C.		P	TX26	2023	1/25/2023	20022259
Hon.	Burgess	Michael C.		P	TX26	2023	2/9/2023	20022391
Hon.	Burgess	Michael C.		P	TX26	2023	3/3/2023	20022499
Hon.	Burgess	Michael C.		P	TX26	2023	3/14/2023	20022541
Hon.	Burgess	Michael C.		P	TX26	2023	4/14/2023	20022685
Hon.	Burgess	Michael C.		P	TX26	2023	6/15/2023	20023153
Hon.	Burgess	Michael C.		P	TX26	2023	7/18/2023	20023340
Hon.	Burgess	Michael C.		P	TX26	2023	8/8/2023	20023382
Hon.	Burgess	Michael C.		P	TX26	2023	9/5/2023	20023612
